[Tue Jul 31 00:36:05 2018] [notice] Apache/2.2.11 (Win32) PHP/5.3.0 configured -- resuming normal operations
[Tue Jul 31 00:36:05 2018] [notice] Server built: Dec 10 2008 00:10:06
[Tue Jul 31 00:36:05 2018] [notice] Parent: Created child process 13020
[Tue Jul 31 00:36:05 2018] [notice] Child 13020: Child process is running
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Acquired the start mutex.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting 64 worker threads.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting thread to listen on port 80.
[Tue Jul 31 12:47:47 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:50:03 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:54:05 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:56:16 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:57:41 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 13:11:57 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 13:11:57 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/favicon.ico, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 13:12:34 2018] [error] [client 127.0.0.1] script 'C:/wamp/www/facebook home page/profile.php' not found or unable to stat, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 13:12:40 2018] [error] [client 127.0.0.1] script 'C:/wamp/www/facebook home page/profile.php' not found or unable to stat, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 13:12:44 2018] [error] [client 127.0.0.1] script 'C:/wamp/www/facebook home page/profile.php' not found or unable to stat, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 13:20:26 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 13:20:26 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/favicon.ico, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
